Lista elemek száma;Lista mérésének ideje(ms);Tömb elemek száma;Tömb mérésének ideje(ms)
100;0,002;100;0,0011
500;0,0201;500;0,0035
1000;0,0133;1000;0,007
10000;0,217;10000;0,0726
50000;0,3971;50000;0,3403
