Lista elemek száma;Lista mérésének ideje(ms);Tömb elemek száma;Tömb mérésének ideje(ms)
100;0,3225;100;0,0411
500;0,8942;500;0,1971
1000;2,6657;1000;0,4203
10000;25,0152;10000;2,9632
50000;25,2733;50000;14,3824
