Lista elemek száma;Lista mérésének ideje(ms);Tömb elemek száma;Tömb mérésének ideje(ms)
100;0,0102;100;0,0039
500;0,0304;500;0,0241
1000;0,0646;1000;0,0386
10000;0,5012;10000;0,5962
50000;3,1701;50000;2,4596
