Lista elemek száma;Lista mérésének ideje(ms);Tömb elemek száma;Tömb mérésének ideje(ms)
100;0,0331;100;0,0182
500;0,7991;500;0,4385
1000;4,855;1000;2,2025
10000;294,737;10000;217,0183
50000;5198,3264;50000;3201,3014
