Lista elemek száma;Lista mérésének ideje(ms);Tömb elemek száma;Tömb mérésének ideje(ms)
100;0,1424;100;0,0358
500;2,8349;500;0,8761
1000;6,7814;1000;3,3114
10000;757,262;10000;463,7821
50000;14305,0078;50000;8399,1589
